sroC // gltL // gltK // gltJ // gltI,FlhDC 
ytfE,NarP  // NarL  // FNR  // NsrR 
ptsG,SoxS  // Mlc  // ArcA  // CRP-cAMP  // Fis 
ptsG,Mlc  // Fis 
rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD,H-NS  // Lrp-Leucine  // Fis 
uspB,IHF 
nadC,CRP-cAMP 
uof // fur // fldA,SoxS 
crl,Fur-Fe<sup>2+</sup> 
yagK,RcdA  
ykiA,RcsB-BglJ 
sbcD // sbcC,PhoB 
dpiA // dpiB,FNR  // CRP-cAMP  // NarL  // ArcA  // DpiA-P<sup>asp</sup> 
cspE,CRP-cAMP 
lysO,ArgR-arg
rarA // lolA,RcsB-P<SUP>asp56</SUP>
ldtC,CpxR
iraM,PhoP  // FNR  // ArcA 
hslJ,CysB-O-acetyl-L-serine 
ydbD,NsrR-nitric oxide
ydfZ,FNR 
dicC // ydfX // ydfW,DicA 
ynjI,RcsB-BglJ 
yeaE,NsrR-nitric oxide
yebE,CpxR
yebG,LexA 
rcnR,RcnR 
rcnB // rcnA,Fur-Fe<sup>2+</sup>  // RcnR 
yfbR,CysB-O-acetyl-L-serine 
alaC,SgrR 
raiA,CRP-cAMP 
yfiB // dgcN // yfiR,YjjQ 
fau // ssrS,Fis  //  Lrp  // H-NS 
argO,Lrp-Leucine  // ArgP-arginine   
sfsB,RcsB-BglJ 
ibaG,MlrA
avtA,Lrp-Leucine 
secB // gpsA,CRP-cAMP 
yjbE,RcsAB  // IHF 
yjbJ,FliZ  
lgoR,UxuR 
yjjP,H-NS 
mazF // mazE // relA,CRP-cAMP  // H-NS 
ygbK,FlhDC 
rcsB // rcsD,H-NS 
gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC,H-NS 
hypF,Cra 
eno,Cra 
lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL,LexA 
ftsK,LexA 
trg,Fis  // CRP-cAMP 
sbmC,CRP-cAMP  // LexA 
fau // ssrS,Fis  //  Lrp  // H-NS 
pstS,PhoB  // IHF  // FNR 
gadE,ArcA  // GadX  // YdeO 
fadR,FadR-acyl-CoA
ahpF // ahpC,OxyR 
ymgC // ariR // ymgA // ycgZ,BluR 
flxA,Fis 
fliC,MatA  // GadE  // H-NS 
sodB,NsrR-nitric oxide // IHF  // CRP-cAMP 
asr,RcdA   // H-NS  // RstA   // PhoB 
cusS // cusR,YedW  // PhoB  // CusR-P<SUP>asp</SUP>
inaA,Rob  // MarA  // SoxS 
psiE,CRP-cAMP  // PhoB 
hpt,IHF  // CRP-cAMP 
treR,PhoP 
treR,PhoP 
sufE // sufS // sufD // sufC // sufB // sufA,NsrR-nitric oxide // Fur-Fe<sup>2+</sup>  // OxyR  // IHF  // IscR 
micF,AcrR  // Lrp-Leucine  // Lrp  // H-NS  // IHF  // MarA  // SoxS  // HU  // Rob  // OmpR 
trxC,OxyR 
copA,CueR-Cu<sup>+</sup> 
fldB,SoxS 
patA,NtrC  // Fis  // IHF 
uspD // yiiS,YdeO 
hisP // hisM // hisQ // hisJ // argT,NtrC 
phoU,PhoB 
uxaB,CRP-cAMP  // ExuR 
actP // yjcH // acs,Fis  // CRP-cAMP  // IHF 
metL // metB,HypT-[Met-oxidized]  // MetJ-S-adenosylmethionine  // PhoP 
lpxA // fabZ // lpxD // skp,CpxR // GadE 
phoQ,PhoB 
patZ,CRP-cAMP 
leuO,LeuO  //  H-NS  // RcsB-BglJ 
leuL,LeuO 
sucB // sucA,IHF  // ArcA  // FNR 
mpaA // ymjC // ymjD // ycjY,PgrR 
leuE,Lrp-Leucine 
feaR,CRP-cAMP  // PhoB  // NsrR-nitric oxide // Nac 
tynA,FeaR 
galK // galT // galE,CRP-cAMP  // HU  // GalR  // GalS  // GalR-galactose // GalS-galactose
relA,NtrC 
pgm // seqA,HU 
garD,CdaR 
fumB // dcuB,DcuR 
znuB // znuC,Zur-Zn<sup>2+</sup> 
nrdG // nrdD,H-NS  // NrdR-Zn<sup>2+</sup>  // FNR 
bglB // bglF // bglG, RcsB-BglJ  // LeuO  // Fis  // H-NS  // CRP-cAMP 
gntT,GntR  // CRP-cAMP 
asnB,GadX 
uidC // uidB // uidA,UidR  // UxuR  // CRP-cAMP 
uidR,UidR 
dmsD // ynfH // ynfG // ynfF // ynfE,NarL  // FNR 
argG,ArgR-L-arginine  // CRP-cAMP 
ugpQ // ugpC // ugpE // ugpA // ugpB,PhoB 
ugpQ // ugpC // ugpE // ugpA // ugpB,PhoB  // CRP-cAMP 
dinG,LexA 
folA,IHF  // TyrR-Tyrosine 
pgi,SoxS 
aspC,FNR // Fur-Fe<sup>2+</sup> 
ssb,ArcA 
ssb,ArcA 
rplT,FNR 
ruvB // ruvA,LexA 
tsr,CpxR
hcr // hcp,OxyR  // NsrR  // FNR  // NarL  // NarP 
agp,CRP-cAMP 
glk,Cra 
yhhY,Fur-Fe<sup>2+</sup> 
tfaQ // ydfN // nohA,Fur-Fe<sup>2+</sup> 
borD,PhoP 
rstB // rstA,PhoP 
ompT,PhoP 
tam // lsrG // lsrF // lsrB // lsrD // lsrC // lsrA,LsrR  // CRP-cAMP 
artJ,ArgR-L-arginine 
metE,MetJ-S-adenosylmethionine  // MetR-L-homocysteine
hokE,LexA 
cho,LexA 
scpC // scpB // argK // scpA,FNR 
fhlA // hypE // hypD // hypC // hypB // hypA,NsrR-nitric oxide // IHF  // FhlA-Formate 
dtpA,OmpR 
metY,CRP-cAMP  // ArgR-L-arginine 
pitA,FNR 
ybiT,AscG  // CRP-cAMP 
yqjI,YqjI  // FNR 
ysgA,FNR 
ydbK,SoxS 
ydcO,SutR 
dcuD,IHF 
omrB,OmpR 
hdfR,H-NS 
galR,GalS-galactose // GalR-galactose
pepD,CsgD 
molR_1,RcsB-BglJ  // LexA 
argC // argB // argH,ArgR-L-arginine 
argF,ArgR-L-arginine 
bioA,BirA-bio-5'-AMP 
cirA,Fur-Fe<sup>2+</sup>  // CRP-cAMP 
fnr,Fur-Fe<sup>2+</sup>  // FNR  // IHF  // ArcA 
frdD // frdC // frdB // frdA,NarL  // FNR  // DcuR 
glpD,ArcA  // GlpR  // CRP-cAMP 
ilvN // ilvB // ivbL,CRP-cAMP 
melR,MelR  // CRP-cAMP  // MelR-Melibiose 
metA,MetJ-S-adenosylmethionine 
ompC,YjjQ  // IHF  // Lrp-Leucine  // Lrp  // EnvY  // OmpR  // CpxR
ompF,PhoB  // RstA   // CpxR // OmpR  // IHF  // EnvY  // CRP-cAMP  // Fur-Fe<sup>2+</sup> 
purM // purN,PurR-Hypoxanthine  // FNR 
purR,PurR-Hypoxanthine  // Fur-Fe<sup>2+</sup> 
trpA // trpB // trpC // trpD // trpE // trpL,TrpR-Tryptophan 
tyrR,TyrR 
cysB,PhoP  // CysB 
cysH // cysI // cysJ,CysB-O-acetyl-L-serine  // IHF 
phoE,PhoB 
tyrB,TyrR-Tyrosine 
aidB,isovaleryl-CoA dehydrogenase and  // Lrp  // Ada 
dctR // slp,YdeO  // H-NS  // GadE-RcsB  // GadW  // GadX  // MarA 
fumC,CRP-cAMP  // Fur-Fe<sup>2+</sup>  // FNR // ArcA  // SoxS  // MarA  // SoxR 
gltA,ArcA  // CRP-cAMP  // IHF 
atoB // atoD // atoA // atoE,IHF  // AtoC 
betA // betB // betI,Cra  // BetI  // ArcA 
malK // lamB // malM,MalT-Maltotriose-ATP  // CRP-cAMP 
speC,CRP-cAMP 
malX // malY,MalI  // CRP-cAMP 
srlA // srlE // srlB // srlD // gutM // srlR // gutQ,H-NS  // GutR  // GutM  // CRP-cAMP 
pck,CRP-cAMP  // Cra 
cynT // cynS // cynX,CynR-Cyanate 
fecE // fecD // fecC // fecB // fecA,HypT-[Met-oxidized]  // Fur-Fe<sup>2+</sup>  // CRP-cAMP  // PdhR 
fdhF,NarL  // FhlA-Formate  // FNR  // NarP 
aspA,NarL  // FNR  // CRP-cAMP 
fruA // fruK // fruB,Cra 
gatD // gatC // gatB // gatA // gatZ // gatY,GatR  // ArcA  // CRP-cAMP 
gcvP // gcvH // gcvT,CRP-cAMP  // PurR-Hypoxanthine  // Lrp  // GcvA  // FNR 
leuD // leuC // leuB // leuA // leuL,LeuO 
umuD // umuC,LexA 
fpr,SoxS  // MarA 
nfo,SoxS  // Rob  // MarA 
codB // codA,PurR-Hypoxanthine  // Nac 
adhE,Lrp  // Cra  // NarL  // Fis 
rbsR // rbsD // rbsA // rbsC // rbsB // rbsK,RbsR  // CRP-cAMP 
wcaB // wcaA // wzc // wzb // wza,RcsAB 
fadA // fadB,Fis  // FadR  // ArcA 
glpQ // glpT,Fis  // IHF  // GlpR  // CRP-cAMP  // FNR 
tdh // kbl,Lrp 
argE,ArgR-L-arginine 
adiA,H-NS  // AdiY  // IHF 
ampD // ampE,CRP-cAMP 
dadA // dadX,CRP-cAMP  // Lrp 
recF // dnaN // dnaA,DnaA-ATP  // ArgP 
flgB // flgC // flgD // flgE // flgF // flgG // flgH // flgI // flgJ,FlhDC 
fliD // fliS // fliT,FlhDC 
moaA // moaB // moaC // moaD // moaE,CueR-Cu<sup>+</sup>  // FNR 
modA // modB // modC,ModE-MoO<sub>4</sub><sup>2-</sup>  // CRP-cAMP 
pspA // pspB // pspC // pspD // pspE,IHF  // PspF 
