spy,BaeR CpxR 
acrD,BaeR CpxR 
mgrR,PhoP 
fabB,FabR FadR 
flxA,Fis 
fliC,MatA GadE 
flgN flgM,CsgD 
aer,
ycgR,FlhD 
pdeH,FlhD 
yhcH nanK nanE nanT nanA,Fis NanR 
dcuC,
sodB,NsrR 
asr,RcdA PhoB 
ribA,SoxS 
osmC,Lrp 
osmC,
ychF,OxyR 
metK,MetJ 
pspF,PspF 
cusA cusB cusF cusC,YedW PhoB 
cusS cusR,YedW PhoB 
inaA,SoxS 
iscA iscU iscS iscR,IscR 
dcuD,PhoP 
gabP gabT gabD,Nac 
glcA glcB glcG glcF glcE glcD,PdhR Arc GlcC 
glcC,Cra Fis GlcC 
osmY,FliZ Fis 
recN,LexA 
psiE,
hpt,
gcd,
ybjN rimK nfsA ybjC,OxyR SoxS 
gadX,PhoB GadX RutR GadW GadE 
metQ metI metN,HypT MetJ 
serA,Lrp 
mhpF mhpE mhpD mhpC mhpB mhpA,MhpR 
mgtL mgtA,PhoP 
treR,PhoP 
treR,PhoP 
mgrB,PhoP 
topA,Fis 
topA,Fis 
fiu,
exbD,
fhuE,
gyrB,Fis 
sufE sufS sufD sufC sufB sufA,NsrR OxyR 
micF,AcrR Lrp Lrp MarA SoxS HU 
isrC flu,OxyR 
metJ,
cpxA cpxR,CpxR 
emrY emrK,EvgA 
trxC,OxyR 
copA,
ybaT ybaS,GadX 
cueO,
cydB cydA,Arc 
cydB cydA,Arc 
cydB cydA,Cra 
fldB,SoxS 
patA,NtrC Fis 
gpmA,
ryhB,
ygaC,
bamE,NsrR CpxR 
mscM psd,CpxR 
bacA,CpxR 
yaiW sbmA,CpxR 
uspD yiiS,YdeO 
hisP hisM hisQ hisJ argT,NtrC 
prpE prpD prpC prpB,Cra 
yeaH yeaG,NtrC 
yhdZ yhdY yhdX yhdW,NtrC 
ddpF ddpD ddpC ddpB ddpA ddpX,NtrC 
glnD,
yciG,McbR 
glgP glgA,PhoP 
phoU,PhoB 
uxaB,
ssrS,Fis Lrp 
ssrS,Fis Lrp 
iraM,PhoP 
dgkA,BasR 
rutA rutB rutC rutD rutE rutF rutG,RutR NtrC PhoP Arc 
actP yjcH acs,Fis 
actP yjcH acs,Fis 
metL metB,HypT MetJ PhoP 
proP,Fis 
sra,OmpR Fis 
ftsQ,SdiA 
csiE,
gabP gabT gabD lhgO csiD,CsiR 
pdeR,FliZ RutR 
dsbC,CpxR 
lpxA fabZ lpxD skp,CpxR GadE 
phoQ,PhoB 
ydeM ydeN,AraC NagC 
ydeI,RcdA 
sroD fadD,FadR Arc 
prmC prfA hemA,
rybA mntS,
leuO,LeuO 
yjiY,
yhjX,YpdB 
waaH,BasR 
fumC fumA,Arc 
bluF,RcdA 
leuL,LeuO 
sucB sucA,
trpL,Trp 
gntK,GntR IdnR 
tnaC,
bglG,RcsB LeuO Fis 
ilvL,Lrp Lrp 
mpaA ymjC ymjD ycjY,PgrR 
leuE,Lrp 
cbpM cbpA,Fis 
cbpM cbpA,Fis 
gloA nemA nemR,RutR NemR 
patD ydcV ydcU ydcT ydcS,Nac 
ompN ydbK,SoxS 
nanA,Fis NanR 
nanS nanM nanC,NanR NagC 
feaR,NsrR Nac 
tynA,FeaR 
bglG,RcsB 
ygeA araE,
galE,GalR HU 
galE,GalR GalS GalR GalS 
galT galE,GalR HU 
galT galE,GalR GalS GalR GalS 
galK galT galE,GalR HU 
galK galT galE,GalR GalS GalR GalS 
relA,NtrC 
ariR,CysB 
accA,FadR 
accC accB,FadR 
fabI,FadR 
iclR,IclR FadR 
nagE,NagC 
norW norV,NarP NorR 
pgm seqA,HU 
garD,CdaR 
gudD gudX gudP,CdaR 
mngB mngA,MngR 
rpiB,AlsR 
cdaR,CdaR 
alsE alsC alsA alsB rpiR,AlsR 
alsE alsC alsA alsB rpiR,AlsR 
recX recA,LexA 
fumB dcuB,DcuR 
znuB znuC,
zntA,
nfsB,MarA 
znuA,
idnK,GntR IdnR 
idnR idnT idnO idnD,GntR IdnR 
nrdG nrdD,
bglB bglF bglG,RcsB LeuO Fis 
gadE,Arc PhoP GadE 
hdeD,PhoP GadX 
yeaD gapA,Cra 
gapA,Cra 
gapA,Cra 
gapA,Cra 
gntT,GntR 
gntT,GntR 
asnB,GadX 
lon,GadX 
gntP,OxyR UxuR 
nfuA gntX,GntR 
uxaA uxaC,ExuR 
uxuR,UxuR ExuR 
exuR,ExuR 
uidC uidB uidA,UidR UxuR 
uidR,UidR 
gnd,
ulaF ulaE ulaD ulaC ulaB ulaA,UlaR 
ulaG,UlaR 
apaH apaG rsmA pdxA,Fis 
rsmA pdxA,Fis 
fadJ fadI,FadR Arc 
malZ,MalT 
dmsD ynfH ynfG ynfF ynfE,NarL 
argG,ArgR 
mdtF mdtE gadE,FliZ GadW EvgA YdeO 
pspG,PspF 
gadY,GadW GadX 
glnA,NtrC 
glnA,NtrC 
cytR,
serC,
ugpQ ugpC ugpE ugpA ugpB,PhoB 
ugpQ ugpC ugpE ugpA ugpB,PhoB 
yidQ,CpxR 
dcuA aspA,NarL 
entS,
gcvB,GcvA 
pnp rpsO truB rbfA infB nusA rimP metY,Fis 
tisB,LexA 
murI btuB,GadX 
dinG,LexA 
folA,
dapB,ArgP 
lysP,Lrp ArgP 
gltX,Fis 
amn,PhoB 
alaS,AlaS 
dapD,ArgP 
pgi,SoxS 
aspC,
cspD,
katE,Fis 
ppc,Cra 
ung,CpxR 
lysC,ArgP 
uvrC,LexA 
ssb,Arc 
ssb,Arc 
ansB,Fis 
agaA agaW agaV kbaZ,AgaR 
agaR,AgaR 
agaI agaD agaC agaB kbaY agaS,AgaR 
ppiD,CpxR 
ssuB ssuC ssuD ssuA ssuE,CysB 
aceF aceE,NsrR 
ruvB ruvA,LexA 
ptrA,LexA 
uvrC uvrY,LexA 
nanM nanC,NanR NagC 
ilvH ilvI,Lrp 
cspI,BasR Fis 
tsr,CpxR 
hcr hcp,OxyR NsrR NarP 
galP,NagC GalS GalR GalR GalS 
sra bdm,
hcaR,HcaR 
hcaD hcaB hcaC hcaF hcaE,HcaR 
prpR,PhoB AscG PrpR 
mntH,OxyR 
tktB,PhoB 
glk,Cra 
evgS evgA,
evgS evgA,
polB,LexA 
allA,AllR 
allS,AllR 
glxK ybbY allB ybbW glxR hyi gcl,AllR 
allE allC allD,AllS 
yhhY,
tfaQ ydfN nohA,
fhuF,OxyR 
ydeP,UvrY NarP NarL PhoP EvgA 
yegZ yegR,EvgA 
frc,EvgA 
yfdE yfdV oxc frc yfdX,EvgA 
yrbL,BasR PhoP 
borD,PhoP 
rstB rstA,PhoP 
slyB,PhoP 
slyB,PhoP 
rob,SoxS 
nagA,PhoP 
hemL,PdhR PhoP 
pagP,PhoP 
ybjG,PhoP 
ompT,PhoP 
tam lsrG lsrF lsrB lsrD lsrC lsrA,LsrR 
baeR baeS mdtD mdtC mdtB mdtA,BaeR CpxR 
mglC mglA,Fis 
dhaR,DhaR 
dhaM dhaL dhaK,DhaR 
glnQ,Fis 
acrD,EvgA 
fbaA pgk epd,Cra 
artJ,ArgR 
metE,MetJ MetR 
metR,MetJ MetR 
metR,MetJ MetR 
ydjM,LexA 
insK,LexA 
dinQ,LexA 
symE,LexA 
ybfE,LexA 
hokE,LexA 
cho,LexA 
acrR,AcrR 
yqjH,YqjI 
zinT,SoxS 
ldtB,
fliE,CsgD 
fhlA hypE hypD hypC hypB hypA,NsrR 
dcuR dcuS,NarL 
fbaB,Cra 
pgaD pgaC pgaB pgaA,OmpR 
argA,ArgR 
dtpA,OmpR 
metY,
appY,
erpA,IscR 
nfuA,IscR 
ydiU,IscR 
napC napB napH napG napA napD napF,IscR 
oxyS,OxyR 
ybiT,AscG 
arcZ,Arc 
yhiM,
yidL,RcsB 
lgoD,UxuR 
yjjZ,
yncE,MarA 
yqjI,YqjI 
rcdA,RcdA 
bhsA,
pliG,
ydbK,SoxS 
yegH,PhoB 
ttdR,Dan 
ygiZ,RcsB 
omrB,OmpR 
omrA,OmpR 
dacC,BolA 
dsrA,LeuO 
fadE,FadR Arc 
feaB,NsrR 
grxD,NsrR 
galR,GalS GalR 
nlpA,CsgD 
aslB,GadE 
dgcC,CsgD 
pepD,CsgD 
