Genes of transcription unit,Transcription Factors
hycI // hycH // hycG // hycF // hycE // hycD // hycC // hycB // hycA,NsrR-nitric oxide // IHF  // FhlA-Formate  // ModE-MoO<sub>4</sub><sup>2-</sup> 
hypA // hypB // hypC // hypD // hypE,NsrR-nitric oxide // IHF  // FhlA-Formate 
proP,CRP-cAMP 
narL // narX,FNR  // ModE-MoO<sub>4</sub><sup>2-</sup> 
fdnG // fdnH // fdnI,NarP  // FNR  // NarL 
ndh,Fur-Fe<sup>2+</sup>  // NsrR-nitric oxide // PdhR  // FNR  // IHF  // ArcA  // Fis 
fumB,Fis  // FNR  // ArcA  // Fur-Fe<sup>2+</sup> 
ppsA,Cra 
entD // fepA,Fur-Fe<sup>2+</sup>  // CRP-cAMP 
fepB,RutR  // Fur-Fe<sup>2+</sup> 
fepC // fepG // fepD,Fur-Fe<sup>2+</sup> 
entC // entE // entB // entA // entH,Fur-Fe<sup>2+</sup>  // CRP-cAMP 
tonB,Fur-Fe<sup>2+</sup> 
mglC // mglA // mglB,GalS  // FlhDC  // GalR  // CRP-cAMP 
gcvA,GcvA 
glnQ // glnP // glnH,IHF  // NtrC 
glpX // glpK // glpF,GlpR  // CRP-cAMP 
ihfA,IHF 
ihfB,IHF 
dps,MntR-Mn<sup>2+</sup>  // H-NS  // Fis // OxyR  // IHF 
envZ // ompR,CRP-cAMP 
lrp,H-NS  // NsrR-nitric oxide // Lrp-Leucine  // Lrp  // GadE 
gltB // gltD // gltF,Fur-Fe<sup>2+</sup>  // AdiY  // HdfR  // Lrp-Leucine  // Nac  // FNR  // CRP-cAMP  // ArgR-L-arginine  // Lrp  // GadE  // IHF 
livJ,Lrp-Leucine 
livF // livG // livM // livH // livK,Lrp 
lysA,ArgP  // LysR 
lysR,LysR 
malI,CRP-cAMP  // MalI 
marR // marA // marB,CpxR // AcrR  // Cra  // MarR  // MarA  // SoxS  // Fis  // Rob  // CRP-cAMP 
metC,MetJ-S-adenosylmethionine 
glyA,PurR-Hypoxanthine  // MetR-L-homocysteine
mtlA // mtlD // mtlR,MtlR  // Cra  // Fis  // CRP-cAMP 
nadB,NadR  and NMN adenylyltransferase
pncB,NadR  and NMN adenylyltransferase // CRP-cAMP 
manX // manY // manZ,Cra  // Mlc  // NagC  // CRP-cAMP 
nrfA // nrfB // nrfC // nrfD // nrfE // nrfF // nrfG,NsrR-nitric oxide // NsrR  // Fis  // FNR  // FlhDC  // NarL  // NarP  // IHF 
nhaR // nhaA,H-NS  // NhaR-Na<SUP>+</SUP> 
phnP // phnO // phnN // phnM // phnL // phnK // phnJ // phnI // phnH // phnG // phnF // phnE_2 // phnE_1 // phnD // phnC,PhoB 
phoU // pstB // pstA // pstC // pstS,PhoB  // IHF  // FNR 
prs,PurR-Hypoxanthine 
speB // speA,PurR-Hypoxanthine 
guaA // guaB,Fis // PurR-Hypoxanthine  // DnaA-ATP  // CRP-cAMP 
rhaT,RhaS // ArcA  // CRP-cAMP  // RhaS-L-rhamnose 
zwf,FNR // Fur-Fe<sup>2+</sup>  // Cra  // SoxS  // Rob  // MarA 
ftsQ // ftsA // ftsZ,SdiA 
soxS,AcrR  // Fur-Fe<sup>2+</sup>  // FNR // SoxS  // SoxR 
torC // torA // torD,NarL  // TorR 
treC // treB,TreR  // CRP-cAMP  // ArcA 
araD // araA // araB,AraC  // CRP-cAMP  // AraC-Arabinose 
metF,MetJ-S-adenosylmethionine 
rhaD // rhaA // rhaB,RhaS-L-rhamnose  // CRP-cAMP 
trpR,TrpR-Tryptophan 
lysU,Lrp 
oppA // oppB // oppC // oppD // oppF,Fur-Fe<sup>2+</sup>  // Lrp  // ArcA  // ModE-MoO<sub>4</sub><sup>2-</sup> 
sdaA,Lrp 
serA,Nac  // Lrp 
eda // edd,KdgR  // GntR  // Cra 
gntU // gntK,GntR  // IdnR-5-ketogluconate  // CRP-cAMP 
gntT,GntR  // CRP-cAMP 
accB // accC,biotin carboxyl carrier protein (dimer)
accD,FadR 
acrA // acrB,MprA  // EnvR  // AcrR  // PhoP  // MarA  // SoxS  // Rob 
acrE // acrF,H-NS  // FNR 
arsR // arsB // arsC,ArsR 
artM // artQ // artI // artP,ArgR-L-arginine 
ascF // ascB,CRP-cAMP  // AscG 
caiE // caiD // caiC // caiB // caiA // caiT,H-NS  // CRP-cAMP  // CaiF-L-carnitine  // ArcA  // FNR 
chbG // chbF // chbR // chbA // chbC // chbB,ChbR  // NagC  // CRP-cAMP  // ChbR-<i>N</i>-monoacetylchitobiose-6-phosphate
creA // creB // creC // creD,NagC 
cydC // cydD,NarL  // FNR  // ArcA 
dppF // dppD // dppC // dppB // dppA,FNR  // IHF 
htrE // yadV,IHF 
exbD // exbB,Fur-Fe<sup>2+</sup> 
fabH // fabD // fabG,FadR 
feoC // feoA // feoB,NagC  // Fur-Fe<sup>2+</sup>  // FNR 
ybdZ // fes // entF // fepE,H-NS  // Fur-Fe<sup>2+</sup>  // FNR 
flgN // flgM // flgA,FlhDC 
fliL // fliM // fliN // fliO // fliP // fliQ // fliR,FlhDC 
glgS,CRP-cAMP 
glmS // glmU,NagC 
yhiD // hdeB // hdeA,FliZ   // RcsB-P<SUP>asp56</SUP> // PhoP  // GadE  // GadW  // Lrp-Leucine  // H-NS  // MarA  // GadX  // TorR-TorI
hipA // hipB,HipB antitoxin and  // HipAB toxin/antitoxin complex and  // IHF 
hyaA // hyaB // hyaC // hyaD // hyaE // hyaF,YdeO  // Fis  // NarL  // NarP  // IscR  // ArcA  // AppY 
hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA,ArcA  // NarL 
moeB // moeA,FNR  // ArcA  // NarL 
cheW // cheA // motB // motA,CpxR
ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF,NarL  // FNR  // ModE-MoO<sub>4</sub><sup>2-</sup>  // NarP  // FlhDC 
nikR // nikA // nikB // nikC // nikD // nikE,NikR-Ni // NarL  // FNR 
nuoN // nuoM // nuoL // nuoK // nuoJ // nuoI // nuoH // nuoG // nuoF // nuoE // nuoC // nuoB // nuoA,FNR  // ArcA  // IHF  // NarL 
phoQ // phoP,PhoP 
potF // potG // potH // potI,NtrC 
rpmA // rplU,MlrA
rpsF // priB // rpsR // rplI,CRP-cAMP 
rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ,ArcA  // FNR 
rplS // trmD // rimM // rpsP,FNR 
ruvB // ruvA,LexA 
serC // aroA,CRP-cAMP  // Lrp 
dksA // sfsA,CRP-cAMP 
ttdT // ttdA // ttdB,Dan-L-tartrate 
ubiC // ubiA,FNR  // IHF  // NarL  // ArcA 
dcd // udk,RbsR-ribose
xylF // xylG // xylH // xylR,Fis  // XylR-Xylose  // CRP-cAMP 
dsdA,DsdC-D-serine   // CRP-cAMP 
pflB // focA,NarL  // CRP-cAMP  // IHF  // FNR  // ArcA 
pflB // focA,ArcA 
ackA,ArcA  // FNR 
bolA,H-NS  // OmpR 
osmB,RcsB-P<SUP>asp56</SUP>
csgC // csgB // csgA,FliZ   // CpxR // CsgD 
csgG // csgF // csgE // csgD,RcdA   // BasR  // FliZ   // Cra  // MlrA  // IHF  // RstA   // CpxR // RcsAB  // OmpR  // CsgD  // CRP-cAMP 
stpA, H-NS  // Lrp 
osmE,IHF  // Fis 
htrE // yadV,IHF 
mngR,MngR 
fimB,H-NS 
fimB,BasR  // IHF  // NanR  // NagC  // H-NS 
grpE,CRP-cAMP 
tcyJ // fliZ // fliA,SutR  // CsgD  // MatA  // NsrR-nitric oxide // H-NS  // FlhDC 
hypB // hypC // hypD // hypE,FNR 
rpoH,CytR  // CRP-cAMP  // DnaA-ATP 
lrhA,LrhA 
trmA,Fis 
uspA,IHF  // FadR 
rpsU // dnaG // rpoD,LexA 
uraA // upp,FNR 
rpoS,MqsA antitoxin of the MqsRA toxin-antitoxin system and  // Fur-Fe<sup>2+</sup>  // ArcA  // CRP-cAMP  // GadX 
tsx,DeoR 
tsx,CytR  // CRP-cAMP 
soxR,AcrR  // Fur-Fe<sup>2+</sup>  // FNR // SoxR 
mprA // emrA // emrB,MprA 
fecR // fecI,Fur-Fe<sup>2+</sup> 
ppiA,CpxR
ppiA,CytR  // CRP-cAMP 
cadA // cadB,Lrp  // ArcA  // H-NS  // CadC  // GadX  // GadE-RcsB
fumB // dcuB,NarL  // FNR  // CRP-cAMP 
tcyJ // fliZ // fliA,NsrR-nitric oxide
glnB,PurR-Hypoxanthine 
ubiX // purF // cvpA,PurR-Hypoxanthine 
ompC,Lrp 
ompC,IHF  // Lrp 
ptsH // ptsI // crr,NagC  // CRP-cAMP 
ptsH // ptsI // crr,NagC 
ptsH // ptsI // crr,CRP-cAMP  // Cra 
ptsH // ptsI // crr,Cra  // CRP-cAMP 
rcsA,H-NS  // GadE  // RcsAB 
glmS // glmU,NagC 
aspV,Fis 
lysT // valT // lysW,Fis 
proL,Fis 
valU // valX // valY // lysV,Fis // Fis 
argW,Fis 
pheV,Fis 
argX // hisR // leuT // proM,Fis 
tufB // thrU // tyrU // glyT // thrT,Fis 
serT,Fis 
serX,Fis 
tpr // tyrV // tyrT,Fis 
alaX // alaW,Fis 
glyU,Fis 
infB // nusA // rimP // metY,Fis 
proK,Fis 
pdhR // aceE // aceF // lpd,Cra  // PdhR  // FNR  // CRP-cAMP 
lpd,Fur-Fe<sup>2+</sup>  // ArcA  // CRP-cAMP  // FNR  // Fis 
sdhC // sdhD // sdhA // sdhB // sucA // sucB // sucC // sucD,FNR  // CRP-cAMP  // ArcA  // Fur-Fe<sup>2+</sup> 
pykF,Cra 
uxuB // uxuA,OxyR  // UxuR  // ExuR  // CRP-cAMP 
aldA,DnaA-ATP  // ArcA  // FNR  // CRP-cAMP 
putP,fused PutA  / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase
fixX // fixC // fixB // fixA,CRP-cAMP  // CaiF-L-carnitine  // FNR 
envZ // ompR,CRP-cAMP  // IHF 
envZ // ompR,CRP-cAMP 
envZ // ompR,CRP-cAMP 
lldD // lldR // lldP,LldR-L-lactose  // ArcA  // LldR 
fimD // fimH // fimG // fimF // fimC // fimI // fimA,Lrp  // IHF  // H-NS 
fimE,H-NS  // Lrp  // LrhA 
ampC,BolA 
eda,KdgR 
mukB // mukE // mukF // smtA,H-NS 
eda,PhoB 
rseC // rseB // rseA // rpoE,CpxR
xapB // xapA,XapR-xanthosine 
tauD // tauC // tauB // tauA,CysB-O-acetyl-L-serine  // Cbl 
arcA,FNR 
arcA,FNR 
putA,BasR  // fused PutA  / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase // MarA 
nmpC,MprA  // IHF  // OmpR  // CRP-cAMP 
cydB // cydA,H-NS  // ArcA  // FNR 
ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF,NarL  // NarP  // ModE-MoO<sub>4</sub><sup>2-</sup>  // FlhDC 
phr,LexA 
paaZ,PaaX  // CRP-cAMP  // IHF 
glpR // glpG // glpE,CRP-cAMP 
hypF // hydN,FhlA-Formate  // FlhDC 
dadX // dadA,Lrp  // CRP-cAMP 
dadX // dadA,Lrp  // CRP-cAMP 
rnpB // garK // garR // garL // garP,Fur-Fe<sup>2+</sup>  // H-NS  // CdaR  // FNR 
hupA,CRP-cAMP  // Fis 
xseA,CRP-cAMP 
paaK // paaJ // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA,PaaX  // CRP-cAMP  // IHF 
mazF // mazE // relA,HipAB toxin/antitoxin complex and  // HipB antitoxin and 
mazG // mazF // mazE,MazE-MazF   // MazE antitoxin of the MazF-MazE toxin-antitoxin system // Fis 
mazG // mazF // mazE,MazE-MazF   // MazE antitoxin of the MazF-MazE toxin-antitoxin system // Fis 
ilvX // ilvG_1 // ilvA // ilvD // ilvE // ilvM // ilvG_2 // ilvL,IHF 
ilvX // ilvG_1 // ilvA // ilvD // ilvE // ilvM // ilvG_2 // ilvL,Lrp  // Lrp-Leucine  // IHF 
tpx,FNR  // ArcA 
adhE,NarL  // FNR 
pqiB // pqiA,SoxS  // MarA 
hlyE,Fis  // CRP-cAMP  // FNR  // SlyA  // H-NS 
degP,H-NS  // CpxR
gadX // gadA,AdiY  // RcsB-P<SUP>asp56</SUP> // Fis  // H-NS  // GadW  // TorR-TorI // CRP-cAMP  // FNR  // GadX  // GadE-RcsB  // ArcA 
amtB // glnK,Fur-Fe<sup>2+</sup>  // FNR // NtrC  // GadX 
rtcA // rtcB,RtcR  // IHF 
aroP,Cra  // TyrR-Tyrosine 
nac,Fur-Fe<sup>2+</sup>  // FNR // Nac  // NtrC 
phoQ // phoP,PhoP 
polA,DnaA-ATP 
xylB // xylA,AraC-Arabinose  // XylR-Xylose  // CRP-cAMP 
xylR,ArcA 
paaY // paaX,PaaX 
proX // proW // proV,H-NS 
proX // proW // proV,IHF  // H-NS 
grxA,OxyR 
zraP,ZraR 
zraR // zraS,ZraR  // CRP-cAMP 
pfkA,Cra 
torR,TorR 
acnA,Rob  // MarA  // SoxS  // ArcA  // FNR  // CRP-cAMP  // Cra 
acnB,ArcA  // Fis  // Cra  // CRP-cAMP 
spf,CRP-cAMP 
adiY,H-NS 
cdd,NsrR-nitric oxide // CytR  // CRP-cAMP 
yeiL,FNR  // Lrp-Leucine  // IHF  // YeiL 
