Genes of transcription unit,Transcription Factors
ydeA,ArcA 
ftsZ // ftsA,RcsB-P<SUP>asp56</SUP>
slt,CpxR
yeiW,CRP-cAMP 
ihfA // pheT // pheS // pheM // rplT // rpmI // infC // thrS,NsrR-nitric oxide
norR,NsrR-nitric oxide // NorR 
mioC // asnC,AsnC  // Nac 
mnmG // mioC // asnC,AsnC  // Nac 
ftnB,CpxR
mzrA // yqjA,CpxR
yjbH // yjbG // yjbF // yjbE,RcsAB  // IHF 
nhaR,YdeO 
glgP // glgA // glgC // glgX // glgB,PhoP 
rnlB // rnlA,IscR 
eptA,BasR 
gspB // gspA,H-NS 
gspB // gspA,H-NS 
cynS // cynT,CynR-Cyanate 
hokD // relE // relB,RelB-RelE   // RelB-antitoxin and 
crp,Fis 
crp,Fis 
hypF,Cra 
eno,Cra 
eno,Cra 
hisP // hisM // hisQ // hisJ,H-NS  // ArgR-L-arginine 
hchA,H-NS 
csgG // csgF // csgE // csgD,FliZ   // RstA  
dcuR,CRP-cAMP 
gadW // gadX,PhoB  // GadX  // RutR  // GadW  // H-NS  // FNR  // GadE 
cysH,HypT-[Met-oxidized] 
rutR,RutR 
ydeO // safA,RcsB-P<SUP>asp56</SUP> // YdeO  // PhoP  // EvgA 
hflC // hflK // hflX // hfq,CRP-cAMP 
bglJ // yjjQ,H-NS  // LeuO 
cspE,DinJ-YafQ  
dctA,ArcA  // CRP-cAMP  // DcuR 
talA,CreB  
yhbS // yhbT,CsgD 
tpiA,Cra 
ydhT // ydhU // ydhX // ydhW // ydhV // ydhY,NarL  // NarP  // FNR 
ecnB,OmpR 
creD,CreB  
nemA // nemR,RutR  // NemR 
pstA // pstC // pstS,PhoB  // IHF  // FNR 
ygiC // ygiB // ygiA // tolC,PhoP 
ygiC // ygiB // ygiA // tolC,MarA  // Rob  // SoxS 
murP // murQ,CRP-cAMP  // MurR 
murP // murQ,MurR  // CRP-cAMP 
gadW,YdeO 
gadW,H-NS  // GadX  // GadW  // SdiA  // PhoP 
yjeV,DnaA-ATP 
ogt,NarL  // Fis
