asr,RcdA RstA PhoB 
ribA,SoxS 
osmC,Lrp 
osmC,Lrp 
ychF,OxyR 
metK,MetJ 
pspF,PspF 
cusA cusBcusFcusC,YedW PhoB 
cusS cusR,YedW PhoB 
inaA,MarA SoxS 
iscA iscUiscSiscR,IscR 
dcuD,PhoP 
gabP gabTgabD,Nac 
glcA glcBglcGglcFglcE glcD,PdhR GlcC 
glcC,Cra Fis GlcC 
osmY,FliZ Fis Lrp 
recN,LexA 
psiE,PhoB 
ybjN rimKnfsAybjC,MarA OxyR SoxS 
gadX,PhoB GadX RutR GadW GadE 
metQ metImetN,HypT MetJ 
serA,Lrp 
mhpF mhpEmhpDmhpCmhpB mhpA,MhpR 
mgtL mgtA,PhoP 
treR,PhoP 
treR,PhoP 
mgrB,PhoP 
topA,Fis 
topA,Fis 
gyrB,Fis 
sufE sufSsufDsufCsufB sufA,NsrR OxyR IscR 
micF,AcrR Lrp Lrp MarA SoxS HU OmpR 
isrC flu,OxyR 
cpxA cpxR,CpxR 
emrY emrK,EvgA 
trxC,OxyR 
ybaT ybaS,GadX 
cydB cydA,Cra 
fldB,SoxS 
patA,NtrC Fis 
bamE,NsrR CpxR 
mscM psd,CpxR 
bacA,CpxR 
yaiW sbmA,CpxR 
uspD yiiS,YdeO 
hisP hisMhisQhisJargT,NtrC 
prpE prpDprpCprpB,Cra PrpR 
yeaH yeaG,NtrC 
yhdZ yhdYyhdXyhdW,NtrC 
ddpF ddpDddpCddpBddpA ddpX,NtrC 
yciG,McbR 
glgP glgA,PhoP 
phoU,PhoB 
uxaB,ExuR 
ssrS,Fis Lrp 
ssrS,Fis Lrp 
iraM,PhoP 
dgkA,BasR 
rutA rutBrutCrutDrutE rutFrutG,RutR NtrC PhoP 
actP yjcHacs,Fis 
actP yjcHacs,Fis 
metL metB,HypT MetJ PhoP 
proP,Fis 
sra,OmpR Fis 
ftsQ,SdiA 
gabP gabTgabDlhgOcsiD,CsiR Lrp 
pdeR,FliZ RutR 
dsbC,CpxR 
lpxA fabZlpxDskp,CpxR GadE 
phoQ,PhoB 
ydeM ydeN,AraC NagC 
ydeI,RcdA 
sroD fadD,FadR 
leuO,LeuO RcsB 
yjiY,YehT 
yhjX,YpdB 
waaH,BasR 
bluF,RcdA 
leuL,LeuO 
gntK,GntR IdnR 
tnaC,TorR 
