Genes of transcription unit,Transcription Factors
gspO  gspM  gspL  gspK  gspJ  gspI  gspH  gspG  gspF  gspE  gspD  gspC,FurFesup2sup   HNS 
tsgA,NsrRnitric oxide
hofM  hofN  hofO  hofP,CRPcAMP 
asd,ArgP 
yhjA,FNR   OxyR 
yhjC,PhoB 
avtA,LrpLeucine 
secB  gpsA,CRPcAMP 
yibQ  envC  gpmM,Cra 
waaH,NsrRnitric oxide  PhoB 
gor,OxyR 
dinD,LexA 
cbrB,CreB  
mioC,MraZ 
rffM  wzyE  rffT  wzxE  rffA  rffC  rffH  rffG  wecC  wecB  wzzE  rfe,NsrRnitric oxide
yjbE,RcsAB   IHF 
yjbJ,FliZ  
adiC,PhoB   GadERcsB
yjfN,CpxR
yjfF  ytfT  ytfR  ytfQ,AraC
bdcA,NsrRnitric oxide
pepA,aminopeptidase AI
yjhC  yjhB,NanR 
ydeA,ArcA 
lgoR,UxuR 
yjjP,HNS 
ftsZ  ftsA,RcsBPSUPasp56SUP
slt,CpxR
yeiW,CRPcAMP 
ihfA  pheT  pheS  pheM  rplT  rpmI  infC  thrS,NsrRnitric oxide
norR,NsrRnitric oxide  NorR 
mioC  asnC,AsnC   Nac 
mnmG  mioC  asnC,AsnC   Nac 
mazF  mazE  relA,CRPcAMP   HNS 
ygbK,FlhDC 
ftnB,CpxR
mzrA  yqjA,CpxR
yjbH  yjbG  yjbF  yjbE,RcsAB   IHF 
nhaR,YdeO 
glgP  glgA  glgC  glgX  glgB,PhoP 
rnlB  rnlA,IscR 
eptA,BasR 
rcsB  rcsD,HNS 
gspO  gspM  gspL  gspK  gspJ  gspI  gspH  gspG  gspF  gspE  gspD  gspC,HNS 
gspB  gspA,HNS 
gspB  gspA,HNS 
cynS  cynT,CynRCyanate 
hokD  relE  relB,RelBRelE    RelBantitoxin and 
crp,Fis 
crp,Fis 
hypF,Cra 
hypF,Cra 
eno,Cra 
eno,Cra 
eno,Cra 
hisP  hisM  hisQ  hisJ,HNS   ArgRLarginine 
hchA,HNS 
csgG  csgF  csgE  csgD,FliZ    RstA  
dcuR,CRPcAMP 
gadW  gadX,PhoB   GadX   RutR   GadW   HNS   FNR   GadE 
lpxC  ftsZ  ftsA  ftsQ  ddlB  murC  murG  ftsW  murD  mraY  murF  murE  ftsI  ftsL,LexA 
ftsK,LexA 
cysH,HypTMetoxidized 
rutR,RutR 
ydeO  safA,RcsBPSUPasp56SUP  YdeO   PhoP   EvgA 
hflC  hflK  hflX  hfq,CRPcAMP 
bglJ  yjjQ,HNS   LeuO 
cspE,DinJYafQ  
dctA,ArcA   CRPcAMP   DcuR 
trg,Fis   CRPcAMP 
sbmC,CRPcAMP   LexA 
talA,CreB  
yhbS  yhbT,CsgD 
tpiA,Cra 
ydhT  ydhU  ydhX  ydhW  ydhV  ydhY,NarL   NarP   FNR 
ecnB,OmpR 
creD,CreB  
nemA  nemR,RutR   NemR 
fau  ssrS,Fis    Lrp   HNS 
pstS,PhoB   IHF   FNR 
pstA  pstC  pstS,PhoB   IHF   FNR 
ygiC  ygiB  ygiA  tolC,PhoP 
ygiC  ygiB  ygiA  tolC,MarA   Rob   SoxS 
murP  murQ,CRPcAMP   MurR 
murP  murQ,MurR   CRPcAMP 
gadW,YdeO 
gadW,HNS   GadX   GadW   SdiA   PhoP 
